id,title,goal,level,days_per_week,description,equipment
1,Beginner Full Body Reset,fat loss,beginner,3,Full-body plan focusing on form, consistency, and light cardio finishers,home
2,Push Pull Legs Hypertrophy,muscle gain,intermediate,6,Classic PPL split with progressive overload and accessory work,gym
3,5K Run Builder,endurance,beginner,4,Run-walk progression to build aerobic base and reach a 5K,outdoors
4,Strength Fundamentals,strength,beginner,3,Barbell basics with simple linear progression on core lifts,gym
5,Upper/Lower Split,muscle gain,intermediate,4,Upper and lower days with compound focus and balanced volume,gym
6,HIIT + Core,fat loss,intermediate,3,Short interval sessions paired with core stability circuits,home
7,Mobility & Posture,mobility,beginner,5,Daily mobility flows targeting hips, shoulders, and thoracic spine,home
8,Athletic Conditioning,performance,advanced,5,Power + conditioning sessions built around sprint and plyo work,gym
9,Home Dumbbell Only,muscle gain,beginner,4,Dumbbell-only program with full-body emphasis and tempo control,home
10,Lean Bulk Builder,muscle gain,advanced,6,High-volume hypertrophy plan with periodized intensity blocks,gym
11,6K Run,fat loss,advanced,2,6 kilometer run for fat burning,none
12,Foundational Full Body,muscle gain,beginner,3,A complete full-body workout for beginners using compound movements,home
13,Basic Barbell Strength,muscle gain,beginner,3,Simple 3x5 routine with basic barbell lifts to build strength,barbell
14,Full Body Tone,muscle gain,beginner,3,Full-body workout with higher repetitions for muscle definition,dumbbells
15,Beginner Hypertrophy,muscle gain,beginner,4,4-day upper/lower split for beginners ready to increase volume,gym
16,PPL Lite,muscle gain,intermediate,4,4-day Push/Pull/Legs split for focused growth,gym
17,Upper/Lower Power,muscle gain,intermediate,4,4-day power-focused split alternating upper and lower body,gym
18,PHUL,muscle gain,intermediate,4,Power Hypertrophy Upper Lower - combines heavy and high-rep work,gym
19,Body Part Split,muscle gain,intermediate,5,Classic 5-day split: Chest, Back, Shoulders, Legs, Arms,gym
20,PPL Advanced,muscle gain,advanced,6,6-day PPL split hitting each muscle group twice per week,gym
21,PPLUL,muscle gain,advanced,5,5-day Push/Pull/Legs/Upper/Lower for advanced lifters,gym
22,High-Frequency Full Body,muscle gain,advanced,5,Full body 5 days a week with varying exercises,gym
23,Metabolic Full Body,fat loss,beginner,3,Full-body circuit to elevate heart rate and burn calories,home
24,Bodyweight HIIT Blast,fat loss,beginner,3,HIIT using only bodyweight exercises for maximum calorie burn,none
25,At-Home Cardio Burn,fat loss,beginner,3,Cardio routine with jogging, jumping jacks, high knees,none
26,LISS for Weight Loss,fat loss,beginner,4,Low-Intensity Steady-State cardio for sustained calorie burn,outdoors
27,Full Body Metabolic,fat loss,intermediate,4,Compound strength with high-intensity cardio circuits,gym
28,HIIT the Limit,fat loss,intermediate,4,4-day program focused on HIIT and EPOC effect,gym
29,Upper/Lower Fat Burn,fat loss,intermediate,4,Upper/lower split with higher reps and cardio bursts,gym
30,PPL Fat Loss,fat loss,advanced,5,5-day PPL with conditioning finishers,gym
31,6-Day Shred,fat loss,advanced,6,High-volume weight training with daily cardio,gym
32,Hypertrophy & HIIT Fusion,fat loss,advanced,5,Hypertrophy lifting with separate HIIT sessions,gym
33,Functional Full Body,strength,beginner,3,Functional movements to improve daily activity performance,home
34,The r/Fitness Beginner,strength,beginner,3,Simple 3-day routine focused on standard barbell lifts,barbell
35,The 3-Day Full Body,strength,beginner,3,Classic 3-day full-body plan for fundamental strength,gym
